old_name,new_name
B1 - Cergy,B1 - Cergy · arch. 25-26
B1 - Paris,B1 - Paris · arch. 25-26
B2 - Cergy,B2 - Cergy · arch. 25-26
B2 - Paris,B2 - Paris · arch. 25-26
B3 - Cergy,B3 - Cergy · arch. 25-26
B3 - Paris,B3 - Paris · arch. 25-26
B3 TP,B3 TP · arch. 25-26
M1 Dev VR - Cergy,M1 Dev VR - Cergy · arch. 25-26
M1 Lead Dev - Cergy,M1 Lead Dev - Cergy · arch. 25-26
M1 Lead Dev - Paris,M1 Lead Dev - Paris · arch. 25-26
M2 Dev VR - Cergy,M2 Dev VR - Cergy · arch. 25-26
M2 Lead Dev - Cergy,M2 Lead Dev - Cergy · arch. 25-26
[Archive 2024] B1 - paris,B1 Paris · arch. 24-25
[Archive 2024] B2 - cergy,B2 - cergy · arch. 24-25
[Archive 2024] B2 - paris,B2 - paris · arch. 24-25
[Archive 2024] B3A - cergy,B3A - cergy · arch. 24-25
[Archive 2024] B3B - cergy,B3B - cergy · arch. 24-25
[Archive 2024] B3 - paris,B3 - paris · arch. 24-25
[Archive 2024] M1 Dev VR - cergy,M1 Dev VR - cergy · arch. 24-25
[Archive 2024] M1 Lead Dev - cergy,M1 Lead Dev - cergy · arch. 24-25
[Archive 2024] M2 Dev VR - cergy,M2 Dev VR - cergy · arch. 24-25
[Archive 2024] M2 Lead Dev - cergy,M2 Lead Dev - cergy · arch. 24-25
[Archive 2024] M2 BNP - paris,M2 BNP - paris · arch. 24-25
[Archive 2024] TP Reco - paris,TP Reco - paris · arch. 24-25
